link, name, description, keywords, category, cuisine, ingredients, instructions, calories, fat, saturates, sugar, salt
https://groceries.asda.com/recipes/pistachio-pavlova-with-rosewater-berries/384f0397-2aff-11e9-8802-7daf07a34f81,Pistachio pavlova with rosewater berries,‘This dessert dish makes the most of beautiful Middle Eastern flavourings like rosewater and pistachio.',dessert egg whites meringue middle east pavlova pistachio summer,Baking Dessert,Middle Eastern,4 medium egg whites 225g caster sugar 1tsp cornflour 1tsp white wine vinegar 50g pistachios very finely chopped  plus extra  roughly chopped  to decorate 200g strawberries  hulled and chopped 200g raspberries 2tbsp icing sugar ½tsp rosewater 300g whipping cream 1tbsp Asda Rose Petals  to decorate,Preheat the oven to 160C/140C Fan/Gas 3. Line a large baking sheet with baking paper.Beat the egg whites with an electric hand-whisk until stiff peaks form. Slowly add the sugar 1tbsp at a time whisking continuously until all of it is used and the peaks are stiff and shiny. Whisk in the cornflour and vinegar then fold in the finely chopped pistachios with a large metal spoon to create green swirls.Spoon the mixture onto the baking sheet. Spread out without flattening to create a circle about 23cm in diameter and create peaks with a fork. Bake for 1 hr then switch off the oven open the door and allow the meringue to cool.Put the berries icing sugar and rosewater in a bowl then toss together.Lightly whip the cream until it forms soft peaks.Build your pavlova just before serving. Spoon the whipped cream into the centre of the meringue and top with the berries and any juices. Scatter with the rose petals and roughly chopped pistachios to decorate then serve immediately.,Each serving of this recipe contains 228kcal of Energy. This represents    11 percent of an adult’s daily reference intake which is considered a regular amount,Each serving of this recipe contains 12.6g of Fat. This represents    18 percent of an adult’s daily reference intake which is considered a medium amount,Each serving of this recipe contains 6.7g of Saturates. This represents    34 percent of an adult’s daily reference intake which is considered a medium amount,Each serving of this recipe contains 23.3g of Sugar. This represents    26 percent of an adult’s daily reference intake which is considered a high amount,Each serving of this recipe contains 0.07g of Salt. This represents    1 percent of an adult’s daily reference intake which is considered a low amount
https://groceries.asda.com/recipes/beetroot-radish-raspberry-bulgur-wheat-salad/384eb4fd-2aff-11e9-8802-7daf07a34f81,Beetroot  radish & raspberry bulgur wheat salad,This veggie salad balances spiced beetroot with sweet raspberries and nutty bulgur wheat.,31-60 min. all autumn autumn salads dinner parties dinner party family meals fine dining food fruit global inspiration light meals low cost lunch main pulses recipes salad vegetable vegetarian recipes world flavours,Dinner Light meals Lunch Main course Salad,American,125g bulgur wheat 200g pack radishes (sliced) 175g Lincolnshire Beetroot Co Sweet Chilli Beetroot (cubed) 1 tbsp chopped fresh mint 2 tbsp light olive oil 1 lemon (zest of plus 1 tbsp juice) 200g pack raspberries 75g hazelnuts (chopped and toasted) ½ x 160g bag baby spinach,Put the bulgur wheat in a bowl and pour over boiling water to just cover. Leave to soak for 30 minutes then tip into a sieve to drain off any excess liquid. Set aside and allow to cool.Put the bulgur wheat into another bowl with the radishes and beetroot. Stir to mix together.Whisk together the mint olive oil lemon zest and juice to make a dressing.Sprinkle the raspberries and hazelnuts into the salad and toss with the dressing. Arrange the spinach on a large plate and serve the salad on top.,Each serving of this recipe contains 353kcal of Energy. This represents    18 percent of an adult’s daily reference intake which is considered a regular amount,Each serving of this recipe contains 18.2g of Fat. This represents    26 percent of an adult’s daily reference intake which is considered a medium amount,Each serving of this recipe contains 1.9g of Saturates. This represents    10 percent of an adult’s daily reference intake which is considered a low amount,Each serving of this recipe contains 12.0g of Sugar. This represents    13 percent of an adult’s daily reference intake which is considered a low amount,Each serving of this recipe contains 0.24g of Salt. This represents    4 percent of an adult’s daily reference intake which is considered a low amount
https://groceries.asda.com/recipes/chicken-in-a-bun/384e1866-2aff-11e9-8802-7daf07a34f81,Chicken in a bun,This works just as well with turkey breast fillets.,31-60 min. all bread carnival recipes chicken family favourites family meals global kid-friendly recipes low cost lunch main sandwich spring summer sweet potato weekday winners,Lunch Main course Sandwich Dinner,,2 large sweet potatoes  about 350g each 2 tbsp sunflower oil 260g pack Butcher’s Selection Chicken Breast Fillets (2 fillets) 1 large egg  beaten 25g pack Asda Chosen by you Salt & Vinegar Crisps 40g fresh wholemeal breadcrumbs 15g sesame seeds 4 burger buns  cut in half Heinz Reduced Salt & Sugar Tomato Ketchup  to serve Salad  to serve,Pre-heat the oven to 190C/170C Fan/Gas 5. Scrub the sweet potatoes and cut into wedges. Toss in 1 tbsp of the oil then spread out the wedges on a large baking tray. Cook in the oven for 35-40 minutes.Cut both chicken breasts in half lengthways to make 4 thinner pieces. Put them on a sheet of cling film cover with another sheet and then bash lightly with a rolling pin to flatten slightly. Cut each piece in half again to get 8 even-sized pieces.Mix the rest of the oil with the egg in a shallow dish. On a separate plate crush the crisps and mix with the breadcrumbs and sesame seeds. Coat the chicken pieces in the egg mixture followed by the crumbs.Put on the baking tray and cook in the oven for 20 minutes turning over halfway through.Put the chicken in the buns with the ketchup or whatever garnish you prefer. Serve with the sweet potato wedges and salad.,Each serving of this recipe contains 521kcal of Energy. This represents    26 percent of an adult’s daily reference intake which is considered a regular amount,Each serving of this recipe contains 15.9g of Fat. This represents    23 percent of an adult’s daily reference intake which is considered a medium amount,Each serving of this recipe contains 2.5g of Saturates. This represents    13 percent of an adult’s daily reference intake which is considered a low amount,Each serving of this recipe contains 1.7g of Sugar. This represents    28 percent of an adult’s daily reference intake which is considered a low amount,Each serving of this recipe contains 1.7g of Salt. This represents    28 percent of an adult’s daily reference intake which is considered a medium amount
https://groceries.asda.com/recipes/apricot-crumble-frozen-yogurt/308771b4-9a1e-11e9-bfc0-b79b45a72bb6,Apricot crumble frozen yogurt,Crumble and pistachios add crunch to creamy  frozen Greek-style yogurt with sweet apricots,apricots crumble froyo frozen yogurt pistachio yoghurt yogurt,Dessert Snacks,American,410g tin apricot halves in syrup 1kg Asda Full Fat Greek Style Yogurt 225g pack Asda Crumble Topping 40g shelled pistachios 6 fresh apricots  destoned ,Drain the apricot halves reserving 100ml of the liquid. Blend the fruit and reserved syrup until smooth. Stir through the yogurt and transfer to a lidded freezer-proof container. Freeze for at least 6 hrs until solid.Preheat the oven to 180C/160C Fan/Gas 4.Spread the crumble topping on a baking tray and bake for 25 mins until golden. Allow to cool then break into chunks with a spatula.Meanwhile finely chop the pistachios and fresh apricots.Take the yogurt out of the freezer for 10 mins to soften then blitz in a food processor to break up the ice crystals. Return to the container and stir through the pistachios apricots and crumble reserving some of each. Freeze for at least 2 hrs until firm.Serve scoops sprinkled with the reserved apricots crumble and pistachios.,Each serving of this recipe contains 187kcal of Energy. This represents    9 percent of an adult’s daily reference intake which is considered a regular amount,Each serving of this recipe contains 10.6g of Fat. This represents    15 percent of an adult’s daily reference intake which is considered a medium amount,Each serving of this recipe contains 5.6g of Saturates. This represents    28 percent of an adult’s daily reference intake which is considered a medium amount,Each serving of this recipe contains 11.5g of Sugar. This represents    13 percent of an adult’s daily reference intake which is considered a medium amount,Each serving of this recipe contains 0.12g of Salt. This represents    2 percent of an adult’s daily reference intake which is considered a low amount
https://groceries.asda.com/recipes/welshcakes/384e8dc3-2aff-11e9-8802-7daf07a34f81,Welshcakes,With a soft yet crumbly texture and fruity  subtly spiced flavour  Welshcakes are a true taste of tradition. This recipe dates from the mid-19th century  when coal miners in South Wales took them to work as a pocket sized treat – and they’re still popular in the region today.,31-60 min. all autumn breakfast british budget budget recipes cakes and baking dessert food gifts fruit fry inspiration party food picnic recipes picnics snack spring st davids day summer winter,Baking Dessert Breakfast,British,225g self-raising flour 1/2 level tsp mixed spice Pinch of salt 115g chilled butter  cubed 75g caster sugar 75g sultanas (or currants) 1 medium egg 2 tbsp milk,Sift the flour mixed spice and salt into a large bowl. Rub the cubed butter into the flour mixture until it looks like breadcrumbs.Stir in the sugar and fruit. Lightly beat the egg then mix it and the milk into the flour mixture to make a soft but not sticky dough.On a floured surface roll out the dough to 5-6mm thick then cut into 6cm rounds. Repeat until all the dough has been used.Use a little butter to lightly grease a cast-iron bakestone or a heavy-bottomed frying pan. Warm on a low heat. Cook the rounds in batches for 3 minutes on each side or until golden brown. You may need to re-grease the pan between batches. Finish with a sprinkling of caster sugar (optional). Serve warm or cold.,Each serving of this recipe contains 77kcal of Energy. This represents    4 percent of an adult’s daily reference intake which is considered a regular amount,Each serving of this recipe contains 3.8g of Fat. This represents    5 percent of an adult’s daily reference intake which is considered a low amount,Each serving of this recipe contains 2.2g of Saturates. This represents    11 percent of an adult’s daily reference intake which is considered a medium amount,Each serving of this recipe contains 4.2g of Sugar. This represents    5 percent of an adult’s daily reference intake which is considered a low amount,Each serving of this recipe contains 0.18g of Salt. This represents    3 percent of an adult’s daily reference intake which is considered a low amount
https://groceries.asda.com/recipes/zingy-peach-salsa/384edc84-2aff-11e9-8802-7daf07a34f81,Zingy peach salsa,Mildly spiced with plenty of zing - serve as a relish at a BBQ or as an easy brunch dip,food peach recipe recipes salsa,Sides,British,2 Baker’s Selection White Tortilla Wraps  cut into triangles 2 Grower’s Selection Ready To Eat Peaches  destoned and chopped into small cubes  1tbsp chopped coriander 1tbsp chopped mint leaves 2 spring onions  finely chopped  Juice and zest  ½ lime ½ red chilli  finely chopped,Preheat the oven 150C/130C Fan/Gas 2. Arrange the tortilla triangles in a single layer on a baking tray then bake in the oven for 10-15 mins until crisp and slightly golden around the edges. Mix the remaining ingredients together to create a chunky salsa. Serve in a bowl with the tortilla chips on the side. ,Each serving of this recipe contains 112kcal of Energy. This represents    6 percent of an adult’s daily reference intake which is considered a regular amount,Each serving of this recipe contains 1.4g of Fat. This represents    2 percent of an adult’s daily reference intake which is considered a low amount,Each serving of this recipe contains 0.6g of Saturates. This represents    3 percent of an adult’s daily reference intake which is considered a low amount,Each serving of this recipe contains 5.8g of Sugar. This represents    6 percent of an adult’s daily reference intake which is considered a medium amount,Each serving of this recipe contains 0.31g of Salt. This represents    5 percent of an adult’s daily reference intake which is considered a medium amount
https://groceries.asda.com/recipes/sea-bass-with-ginger-and-tenderstem-broccoli-stirfry/384f0351-2aff-11e9-8802-7daf07a34f81,Sea bass with ginger and tenderstem broccoli stir-fry,This simple fish dish has a zing of ginger,asian chilli fish ginger sea bass stir fry,Dinner Main course Starter,Chinese,250g Extra Special Tenderstem Broccoli 4 Asda Sea Bass Fillets 2tsp sesame oil 3tbsp grated ginger 1 red chilli  finely sliced,Preheat the oven to 180C/160C Fan/Gas 4.Add the broccoli to a pan of boiling water and cook for 2 mins. Drain.Put the fish on a baking tray skin-side down and drizzle with half the oil. Bake for 8-10 mins until the fish starts to flake.Heat the remaining oil in a large frying pan. Add the ginger fry for 2 mins then remove. Add the broccoli and chilli to the pan and fry over a high heat for 5 mins.Divide between 4 plates and top with the fish. Sprinkle over the ginger and black pepper to serve.,Each serving of this recipe contains 196kcal of Energy. This represents    10 percent of an adult’s daily reference intake which is considered a regular amount,Each serving of this recipe contains 10.8g of Fat. This represents    15 percent of an adult’s daily reference intake which is considered a medium amount,Each serving of this recipe contains 2.3g of Saturates. This represents    12 percent of an adult’s daily reference intake which is considered a medium amount,Each serving of this recipe contains 1.3g of Sugar. This represents    1 percent of an adult’s daily reference intake which is considered a low amount,Each serving of this recipe contains 0.18g of Salt. This represents    3 percent of an adult’s daily reference intake which is considered a low amount
https://groceries.asda.com/recipes/moroccanstyle-vegetable-kebabs/384e1876-2aff-11e9-8802-7daf07a34f81,Moroccan-style vegetable kebabs,You could also serve these spicy grilled vegetables with a simple salad,31-60 min. all autumn barbecue bbq family meals grill healthy recipes inspiration light meals low cost main moroccan pulses snack spring summer summer recipes summer weekday winners vegetable vegetarian vegetarian recipes weekday winners world flavours,Dinner Light meals Main course,Moroccan,1 1/2 level tbsp Asda Harissa Paste 2 tbsp red wine vinegar 2 tbsp olive oil  plus extra for brushing 2 aubergines  cut into 4cm cubes 1 red pepper 1 yellow pepper 400g can Asda Chickpeas 1 small red onion  finely chopped 350ml vegetable stock  made with 1 stock cube 27g couscous 40g flaked almonds 4 tbsp chopped flat-leaf parsley Greek yogurt  mixed with chopped mint  to serve,If you're using wooden skewers soak them in cold water for 30 minutes before you start. This stops the wood from burning during cooking.In a freezer bag mix the harissa pasta with the vinegar and 1 tbsp of the oil. Add the aubergine and toss to coat. Set aside for 10-15 minutes.Pre-heat the grill. De-seed the peppers and cut into pieces the same size as the aubergine. Thread them onto the skewers with the aubergine then brush the peppers with oil.Grill the kebabs for 12-15 minutes turning frequently until the vegetables are soft and turning golden.Meanwhile heat the chickpeas in their liquid in a pan until hot. Tip into a bowl and set aside. Rinse and dry the pan then cook the onion in the remaining oil until soft. Remove from the heat.Drain the chickpeas and add to the onion with the stock. Bring to the boil. Remove from the heat and add the couscous. Cover with a lid and set aside for 10 minutes. Fluff with a fork.Meanwhile put the almonds in a dry frying pan and cook for 1-2 minutes tossing until golden.Add the parsley and almonds to the couscous. Serve with the kebabs and Greek yogurt.,Each serving of this recipe contains 395kcal of Energy. This represents    20 percent of an adult’s daily reference intake which is considered a regular amount,Each serving of this recipe contains 12.0g of Fat. This represents    17 percent of an adult’s daily reference intake which is considered a low amount,Each serving of this recipe contains 1.7g of Saturates. This represents    9 percent of an adult’s daily reference intake which is considered a low amount,Each serving of this recipe contains 9.1 g of Sugar. This represents    10 percent of an adult’s daily reference intake which is considered a low amount,Each serving of this recipe contains 1.30g of Salt. This represents    22 percent of an adult’s daily reference intake which is considered a low amount
https://groceries.asda.com/recipes/rhubarb-chutney/384df175-2aff-11e9-8802-7daf07a34f81,Rhubarb chutney,This fruity chutney will keep for a year. If you don't have a very large pan make half the quantity,all british chutney fine dining food gifts fruit inspiration low cost more than 91 min. picnic recipes picnics prepare ahead rhubarb sauces spring summer,Condiment,British,400g rhubarb  cut into 1cm pieces 1 orange  zest and juice of 300g Bramley cooking apples (weighed  peeled and cored)  cut into 1cm pieces 300g red onion  chopped 550ml red wine vinegar 550g granulated sugar 250g dried apricots  cut into small pieces 100g sultanas 2 tsp mustard seeds 25g grated root ginger 1/2 tsp salt,<i>Note: This recipe makes enough for 3x500g jars the nutritional information refers to a teaspoon of chutney.</i>Put all the ingredients in a very large pan and heat gently stirring until the sugar is dissolved.Bring to the boil turn down the heat and simmer for 1 hour 15 minutes or until it is a chutney-like consistency. Stir often (taking the spoon right into the corners of the pan) especially towards the end of cooking to prevent it catching on the base of the pan.Meanwhile pre-heat the oven to 150C/130C Fan/Gas 2. Wash old jam pickle or storage jars in hot soapy water. Rinse in hot water then put the jars in the oven for 20 minutes to sterilise.Leave the cooked chutney to cool for 15 minutes put in the jars and add lids. Makes 3 500g jars.,Each serving of this recipe contains 21kcal of Energy. This represents    1 percent of an adult’s daily reference intake which is considered a regular amount,Each serving of this recipe contains 0.0g of Fat. This represents    0 percent of an adult’s daily reference intake which is considered a low amount,Each serving of this recipe contains 0.0g of Saturates. This represents    0 percent of an adult’s daily reference intake which is considered a low amount,Each serving of this recipe contains 3.0g of Sugar. This represents    3 percent of an adult’s daily reference intake which is considered a low amount,Each serving of this recipe contains 0.07g of Salt. This represents    1 percent of an adult’s daily reference intake which is considered a low amount
https://groceries.asda.com/recipes/butternut-and-beetroot-tarts-with-creamy-camembert/384e3ff4-2aff-11e9-8802-7daf07a34f81,Butternut and beetroot tarts with creamy Camembert,Mouthwatering French cheese meets nuggets of sweet roasted winter veg in a flaky puff pastry nest.,31-60 min. all budget camembert cheese christmas christmas recipes main pastry tart vegetable vegetarian vegetarian recipes winter,Dinner Main course,French,225g butternut squash  diced 2 tsp olive oil 1 tsp balsamic vinegar Flour  for dusting 320g Jus-Rol Light Puff Pastry Sheet 200g Grower's Selection Cooked Beetroot  drained and quartered 100g Camembert  thinly sliced 2 eggs  beaten 6 tbsp double cream 2 tsp thyme leaves,Preheat the oven to 220C/200C Fan/Gas 7. Arrange the squash on a baking sheet and drizzle with the oil and vinegar. Roast for 15-20 minutes until soft.On a surface lightly dusted with flour unroll the pastry. Cut into 4 squares and lay loosely in individual tart tins 4cm x 8cm diameter x 3cm deep.Arrange the beetroot squash and Camembert in the pastry cases. Beat together the eggs cream and thyme. Season well. Divide between the tart cases but be careful not to overfill them.Bake for 10 minutes. Reduce the heat to 200C/180C Fan/Gas 6 and cook for 15 minutes more until golden. Serve with Roasted Carrot & Parsnip Bundles.,Each serving of this recipe contains 434kcal of Energy. This represents    22 percent of an adult’s daily reference intake which is considered a regular amount,Each serving of this recipe contains 30g of Fat. This represents    43 percent of an adult’s daily reference intake which is considered a high amount,Each serving of this recipe contains 13.4g of Saturates. This represents    78 percent of an adult’s daily reference intake which is considered a medium amount,Each serving of this recipe contains 8.8g of Sugar. This represents    10 percent of an adult’s daily reference intake which is considered a medium amount,Each serving of this recipe contains 0.92g of Salt. This represents    15 percent of an adult’s daily reference intake which is considered a medium amount
